id,restaurant_id,restaurant_name,sentence,id_sentence
47,1,Anar Indian Restaurant,server was very slow and distracted even though we were they only ones in they restaurant,255
47,1,Anar Indian Restaurant,lots of people coming in to pick up deliveries music was eclectic like they authentic indian vibe but could do without they rest,256
48,1,Anar Indian Restaurant,ordered take out also gobi and tara day just excellent so good,257
48,1,Anar Indian Restaurant,and they lemonade is perfect for this hot spike of weather,258
48,1,Anar Indian Restaurant,vegetable samosa with cilantro chutney giant garlic naan and fried rice filled out what is simply a fabulous dinner,259
48,1,Anar Indian Restaurant,thank you,260
49,1,Anar Indian Restaurant,do not go by they looks of it,261
49,1,Anar Indian Restaurant,they food was very much delicious,262
50,1,Anar Indian Restaurant,i have been here for my friend birthday,263
50,1,Anar Indian Restaurant,after searching lot of restaurants i went to this one and that too at closing time,264
50,1,Anar Indian Restaurant,but still management so helpful and they made my day so easier,265
50,1,Anar Indian Restaurant,special thanks to sankhya front desk who received us and thanks for your patience,266
50,1,Anar Indian Restaurant,thanks to management,267
50,1,Anar Indian Restaurant,you guys are so sweet,268
50,1,Anar Indian Restaurant,like your rascal,269
50,1,Anar Indian Restaurant,they food was so tasty especially they naan and service also to fast,270
50,1,Anar Indian Restaurant,and one more thing they prices are so reasonable,271
50,1,Anar Indian Restaurant,see you guys soon,272
51,1,Anar Indian Restaurant,worst food worst service ordered day taka hindi okra and hanna marsala,273
51,1,Anar Indian Restaurant,only deal was somewhat edible,274
51,1,Anar Indian Restaurant,hindi was not fully cooked i could taste they rawness in vegetable,275
51,1,Anar Indian Restaurant,hanna marsala was cooked in they same sauce which is used for butter chicken or butter panzer,276
51,1,Anar Indian Restaurant,which was not they way you cook hanna marsala,277
51,1,Anar Indian Restaurant,despite that it was pathetic tasteless and full of color instead of spices,278
51,1,Anar Indian Restaurant,on top of that they server was very rude,279
51,1,Anar Indian Restaurant,my friend wanted to make sure that tandoori roth they had in their menu was made of whole wheat,280
51,1,Anar Indian Restaurant,they servers behavior was weird instead of telling us straight that yes it is made of whole wheat he said what else would that be,281
51,1,Anar Indian Restaurant,one of they worst experience in a restaurant ever,282
51,1,Anar Indian Restaurant,i would say to people of los angeles and whoever visiting do not go to this restaurant,283
51,1,Anar Indian Restaurant,do not make they mistake i made by seeing four star on yelp,284
51,1,Anar Indian Restaurant,this is not indian food,285
51,1,Anar Indian Restaurant,hell this is not even food,286
51,1,Anar Indian Restaurant,stay away,287
52,1,Anar Indian Restaurant,food was actually great but they waiter was very rude,288
52,1,Anar Indian Restaurant,was taking our order as if he was doing us a favor and delivery of spoons and plates was brash,289
52,1,Anar Indian Restaurant,they time of visit was they same as they time of this review,290
52,1,Anar Indian Restaurant,they experience of eating was tarnished because of they waiter,291
52,1,Anar Indian Restaurant,also he lied that there was no tea when i asked for tea while they menu clearly states there is tea on they menu,292
53,1,Anar Indian Restaurant,let me start by saying that i can cook better indian food than these guys do,293
53,1,Anar Indian Restaurant,i mean they food here is not even close to indian,294
53,1,Anar Indian Restaurant,they place is not great either,295
53,1,Anar Indian Restaurant,we ordered chicken bryan and chicken curry and trust me when i say that we threw they food away,296
53,1,Anar Indian Restaurant,yes we asked they food to be togo so we could trash it later because we could not even eat a single bite if this pathetic food,297
53,1,Anar Indian Restaurant,do not go there,298
53,1,Anar Indian Restaurant,i regret they money we wasted on this restaurant,299
54,1,Anar Indian Restaurant,great restaurant a yummy indian food,300
54,1,Anar Indian Restaurant,do not let they location and size fool you,301
54,1,Anar Indian Restaurant,they food and hospitality is really awesome,302
54,1,Anar Indian Restaurant,parve was very humble and welcoming,303
54,1,Anar Indian Restaurant,they food and service was soon good that we came two days in row,304
55,1,Anar Indian Restaurant,it was an user eats order so they did not care to send they right bread order,305
55,1,Anar Indian Restaurant,i ordered tandoori roth it was for my sick kid and they sent me some fried bread may be that ora and my kid could not eat much,306
55,1,Anar Indian Restaurant,would not order again they food tasted of except they bread mess up which was bad for us,307
56,1,Anar Indian Restaurant,i have recently visited this restaurant while i was returning from universal studio and i was searching on google and i found this one and main reason i choose this restaurant because of it open at late one zero am night and when you travel and visiting los angles you always out of time frame and at late at night you find indian food with good quality and excellent service with very sweet spoken girl at night eleven zero clock with sweet smile welcoming guest,308
56,1,Anar Indian Restaurant,liked food and specially sweet lass were awesome great food great services with reasonable prices,309
57,1,Anar Indian Restaurant,its not a good place for indian food minimum for vegetarian indian food,310
57,1,Anar Indian Restaurant,we ordered samosas and it was very bad and and had smell,311
57,1,Anar Indian Restaurant,we tried to cancel our order but they said it already under process,312
57,1,Anar Indian Restaurant,sag panzer was average and day was bad,313
57,1,Anar Indian Restaurant,will not recommend vegetarian indian food at this place,314
58,1,Anar Indian Restaurant,they food was great and for they lunch menu they prices are incredibly good,316
58,1,Anar Indian Restaurant,they service was also amazing they guy was very kind and nice helped us every way he could,317
58,1,Anar Indian Restaurant,would go back every week if we would live closer,318
59,1,Anar Indian Restaurant,consistent,319
59,1,Anar Indian Restaurant,ordered garlic cheese naan and mushroom marsala,320
59,1,Anar Indian Restaurant,naan had generous cheese and tasty,321
59,1,Anar Indian Restaurant,previously ordered veggie korma a child naan,322
59,1,Anar Indian Restaurant,child naan was spicy korma and it was good too,323
60,1,Anar Indian Restaurant,unfortunately they ownership is not in they service business,324
60,1,Anar Indian Restaurant,after checking in about an order that was twenty min late for ninety min wait i was dismissed and told to deal with it myself after they were unable to figure out how to check by address to see if an order was out,325
60,1,Anar Indian Restaurant,i would not trust that they value your business enough to care,326
60,1,Anar Indian Restaurant,wonder what is in they food prep then if it is they same disregard it is probably not good,327
61,1,Anar Indian Restaurant,i have eaten a lot of indian food,328
61,1,Anar Indian Restaurant,in many cases it tastes like hot spicy slop,329
61,1,Anar Indian Restaurant,anal has they most flavorful chicken nikki marsala i have ever had,330
61,1,Anar Indian Restaurant,amazing saab panzer,331
61,1,Anar Indian Restaurant,this is they best indian food i have ever had,332
62,1,Anar Indian Restaurant,one of my favourite restaurants,333
63,1,Anar Indian Restaurant,this has been our go to for take out and we honestly get it once a week,335
63,1,Anar Indian Restaurant,delicious food,336
63,1,Anar Indian Restaurant,love they chicken tina marsala garlic naan samosas and mango lassie,337
64,1,Anar Indian Restaurant,as soon as i saw they chicken curry we had ordered we realized it was a big big mistake,338
64,1,Anar Indian Restaurant,i be ever come across a more tasteless curry,339
64,1,Anar Indian Restaurant,it brought back horrible memories of potato curry i used to have at my hostel,340
65,1,Anar Indian Restaurant,i was visiting la ordered chicken bryan and chicken madras ask them to make spicy,341
65,1,Anar Indian Restaurant,they only thing we can taste was red chilly powder spicy does not mean extra red chilly powder,342
66,1,Anar Indian Restaurant,i ordered a dinner and some naan,343
66,1,Anar Indian Restaurant,i opened up they bag and they forgot they rice and my soup when i called they refused to deliver they rice and offered me a three refund,344
66,1,Anar Indian Restaurant,three off a twenty five zero meal that was mediocre at best and i had tipped they driver four zero,345
66,1,Anar Indian Restaurant,skip this place,346
67,1,Anar Indian Restaurant,i ordered chicken bryan and shrimp bryan instead i got chicken and shrimp mixed in peas pula,347
67,1,Anar Indian Restaurant,dear chef try to read some recipes and understand they difference between pula and bryan,348
67,1,Anar Indian Restaurant,for pula you add peas vegetables like carrot beans and wolves with rice,349
67,1,Anar Indian Restaurant,for bryan you add a lot of spices ginger garlic chilli and no vegetables unless it is vegetable bryan,350
67,1,Anar Indian Restaurant,when you open a bryan it should smell spices not like they one you sent,351
68,1,Anar Indian Restaurant,disgusting threw it all away,352
68,1,Anar Indian Restaurant,literally they nastiest indian food i be ever had,353
68,1,Anar Indian Restaurant,run skip this place by all means,354
69,1,Anar Indian Restaurant,anal has they best indian food,356
69,1,Anar Indian Restaurant,this is one of favourite places to come and eat,357
69,1,Anar Indian Restaurant,their food was all savoy and full of flavor,358
69,1,Anar Indian Restaurant,they staffs are all friendly and very helpful,359
69,1,Anar Indian Restaurant,definitely recommend all their dishes and be back,360
70,1,Anar Indian Restaurant,i love getting delivery from anal,361
70,1,Anar Indian Restaurant,i feel it is more healthy than many indian food places and i can tell there is not a bunch of dye on they tandoori to make it neon pink,362
70,1,Anar Indian Restaurant,i do not know for sure but i do not wake up with that bad feeling they next day,363
71,1,Anar Indian Restaurant,great indian food at is best,364
71,1,Anar Indian Restaurant,delivery with in five miles takeout,365
71,1,Anar Indian Restaurant,all dishes are made to order delivered hot and fresh right at your front door,366
72,1,Anar Indian Restaurant,very unhygienic place food not good no any salads and dessert with dinner plate,367
72,1,Anar Indian Restaurant,too expensive with nothing,368
73,1,Anar Indian Restaurant,horrible service,369
73,1,Anar Indian Restaurant,we ordered and paid online,370
